current_model_size,mean_confidence,bottom_window_confidence,tail_confidence,least_grouped_confidence,target_class
4,6.615,6.133608451,6.567537109,5.824,0
4,8.196,7.738629883,8.055615723,7.303,1
4,9.545,7.920825465,8.247970215,7.015,1
4,10.259,8.914884639,9.302411621,8.213,1
4,9.173,7.913848026,10.22365625,7.262,0
4,5.497,4.825996131,6.654830566,4.646,1
4,5.723,4.888846915,6.732211426,4.732,1
4,5.83,4.839462104,6.958771973,4.636,1
4,7.011,5.945020433,7.636869629,5.266,0
4,6.972,5.58206399,8.320560059,5.048,1
4,5.922,5.216282013,7.308289551,4.879,0
4,6.093,5.321045546,7.38856543,5.046,1
4,5.776,5.311589544,6.038258789,5.106,1
4,5.821,5.270239708,6.193192871,4.996,0
4,6.623,5.547637806,6.880910156,5.345,0
4,6.992,5.88338376,7.67245752,5.768,0
4,6.298,5.286427687,7.049834961,5.109,1
4,7.124,6.025212623,8.71257666,5.714,0
4,8.591,7.175436766,7.73640332,5.756,0
4,8.072,6.271506578,10.37901465,5.692,0
4,10.539,9.388874329,9.937480957,7.844,1
4,11.458,10.20869184,10.54029053,8.959,1
4,11.586,10.92778786,11.54134326,9.734,0
4,7.155,5.947446673,6.727533203,5.308,1
4,7.511,6.481688863,7.843746094,5.691,1
4,7.243,5.935239228,7.883875,5.492,0
4,7.237,5.988110825,7.946813965,5.505,1
4,7.68,6.020398292,7.838631836,5.782,0
4,8.416,5.999305184,12.05738379,5.506,1
4,8.918,6.429998697,12.31415088,6.079,1
4,6.562,5.429228115,6.432518066,4.995,1
4,5.724,4.86274691,6.772251953,4.554,1
4,9.597,8.212038488,10.41720654,7.721,1
4,6.127,5.236756867,7.226271484,4.74,1
4,6.695,5.490208465,9.02429834,4.523,1
4,10.714,9.724883274,9.969022461,8.299,1
4,11.261,11.26072438,11.26072438,10.534,1
4,10.202,9.865151578,9.895773926,8.691,0
4,8.464,6.334472649,7.117007813,5.286,0
4,7.872,5.374869481,10.8715918,4.899,0
4,8.093,5.994358313,9.492095703,5.594,0
4,7.43,5.850570063,9.964752441,5.582,0
4,7.279,5.947419354,8.426404785,5.703,0
4,6.583,5.32408754,7.211320313,5.237,0
4,7.18,5.894945568,9.668303223,5.693,0
4,7.89,6.426198746,9.531983887,6.068,0
4,7.557,5.808331949,10.45354443,5.066,0
4,9.504,8.442997026,9.857570801,7.509,0
4,10.31,10.2066312,10.2176958,9.868,0
4,8.46,6.834267515,9.580876465,6.239,1
4,6.803,5.778839129,7.258959961,5.343,1
4,9.017,7.494281093,10.32791113,7.202,0
4,8.103,6.696923829,9.962407227,6.429,0
4,8.33,6.887192364,8.650901855,6.422,0
4,8.749,7.905175074,8.908000488,7.132,0
4,7.749,6.743200278,7.681853516,5.214,0
4,7.3,5.964248959,8.581361816,5.22,1
4,7.723,6.908532847,8.234758789,5.886,0
4,6.002,5.344265546,6.789633301,5.02,0
4,5.948,4.965465317,7.318791504,4.69,0
4,10.921,10.92112073,10.92112073,10.054,0
4,7.334,6.135595789,7.08729834,5.898,0
4,7.003,5.93526054,6.488422363,5.664,0
4,8.368,7.303339982,8.654452637,7.073,0
4,7.534,5.916999071,6.509518555,5.638,0
4,5.894,4.948497758,6.73160791,4.769,0
4,6.986,5.536599324,8.763210449,5.148,1
4,6.888,5.495676879,8.486056641,4.869,1
4,7.3,5.632848001,6.588602539,5.35,0
4,8.972,7.698231918,9.092695313,6.288,1
4,9.268,7.147061565,10.3750498,6.308,0
4,6.666,5.150429012,7.730939941,4.814,1
32,9.409,8.536122301,9.982109375,7.973,0
32,9.23,7.985521369,9.737160645,7.337,0
32,9.435,8.384971679,10.23038281,7.139,0
32,9.103,9.102853901,9.102853901,7.601,0
32,11.352,10.98918264,11.47551025,10.692,0
32,10.21,9.931896193,10.51410547,9.646,0
32,8.805,7.98059338,9.427665039,7.555,0
32,8.522,7.042309462,10.98083203,6.736,0
32,8.511,7.006192206,10.73896045,6.656,0
32,9.698,9.698206947,9.698206947,8.327,0
32,10.537,8.018400106,11.8804043,5.901,0
32,10.113,9.297793263,9.326480957,8.302,0
32,8.229,6.946652386,9.226816406,6.447,0
32,9.696,8.670481333,10.80969385,8.197,0
32,7.604,6.252831388,9.618594238,5.809,0
32,8.701,6.727528764,10.32513086,6.261,0
32,6.586,5.319712944,6.820793457,5.015,0
32,9.18,9.180009174,9.180009174,7.557,0
32,7.626,6.158897764,8.432695801,5.983,0
32,7.981,7.981411364,7.981411364,6.546,0
32,9.055,9.055334906,9.055334906,8.918,0
32,8.122,6.946031704,10.30323535,6.603,0
32,10.858,10.00006674,10.3019126,9.459,0
32,10.718,9.469851263,11.67551563,8.803,0
32,7.99,6.870557618,8.485894531,6.337,0
32,11.601,11.60057027,11.60057027,11.483,0
32,8.943,7.777466321,10.59401221,7.126,0
32,9.158,8.232799916,10.77425977,7.45,0
32,11.689,10.63564631,11.88528613,9.29,0
32,10.787,9.49386949,11.77964746,8.322,0
